epoch,loss,recon,kl
1,1.0138488411903381,1.01361583173275,2.3301978036761284
2,0.9979183077812195,0.9955698251724243,23.484967947006226
3,0.9577324986457825,0.9507572799921036,69.75227642059326
4,0.9201581925153732,0.9148475080728531,53.10685920715332
5,0.8987308442592621,0.894870325922966,38.60502338409424
6,0.9011688232421875,0.897156298160553,40.12530469894409
7,0.8774625211954117,0.8723387122154236,51.238070011138916
8,0.9007261395454407,0.8907685577869415,99.57587432861328
9,0.8515814691781998,0.8433601409196854,82.2132682800293
10,0.8160169273614883,0.8077178299427032,82.99089813232422
11,0.836251974105835,0.8275916576385498,86.60320854187012
12,0.7812248170375824,0.7722727954387665,89.52021408081055
13,0.7388084083795547,0.7294982224702835,93.10184288024902
14,0.756610095500946,0.746677502989769,99.32604598999023
15,0.7084088325500488,0.69771708548069,106.91753196716309
16,0.6973710060119629,0.6867203414440155,106.50667190551758
17,0.7204900234937668,0.7083995342254639,120.90482139587402
18,0.669252559542656,0.6558857560157776,133.66820335388184
19,0.6818309724330902,0.6660615354776382,157.69439315795898
20,0.6425070464611053,0.6276353448629379,148.71685409545898
21,0.6397077888250351,0.6220055520534515,177.02227401733398
22,0.6351722776889801,0.616192489862442,189.79779434204102
23,0.6231934130191803,0.6068684160709381,163.25002670288086
24,0.5906267017126083,0.5749563723802567,156.70321655273438
25,0.5612101256847382,0.5417328178882599,194.77306747436523
26,0.5607638955116272,0.5413540303707123,194.0986328125
27,0.5391342863440514,0.5190592408180237,200.75054168701172
28,0.5271822512149811,0.5087667033076286,184.15558624267578
29,0.5133288875222206,0.4944235384464264,189.05356979370117
30,0.4898681566119194,0.47010646015405655,197.61687850952148
31,0.4848287105560303,0.46362384408712387,212.04876708984375
32,0.4488823190331459,0.42850594222545624,203.76382064819336
33,0.449510358273983,0.4281626120209694,213.4775161743164
34,0.45607373863458633,0.43477390706539154,212.99828338623047
35,0.4254468008875847,0.40537188202142715,200.74918746948242
36,0.42434636503458023,0.4030625745654106,212.83797073364258
37,0.40528470277786255,0.3841898888349533,210.94818496704102
38,0.3724796324968338,0.35009734332561493,223.8230209350586
39,0.39468617737293243,0.3732715845108032,214.14593887329102
40,0.3865330442786217,0.36450647562742233,220.26564407348633
41,0.3659236207604408,0.3426651135087013,232.58509826660156
42,0.3744407892227173,0.35263801366090775,218.02783966064453
43,0.3473537564277649,0.3252495974302292,221.04157638549805
44,0.3509826883673668,0.3287868946790695,221.95791244506836
45,0.3474855273962021,0.3237147703766823,237.70752334594727
46,0.31890372186899185,0.2951418459415436,237.61882781982422
47,0.33183909952640533,0.30951447784900665,223.24625778198242
48,0.3132331147789955,0.2897564545273781,234.76660537719727
49,0.30279891192913055,0.27877509593963623,240.23824310302734
50,0.2873972915112972,0.2623527757823467,250.44513320922852
