epoch,beta,loss_total,loss_recon,loss_kl,seconds
1,0.1,1.055947003364563,1.0227685761451721,0.331784192584455,2.520142078399658
2,0.2,0.9718313026428222,0.951525731086731,0.10152778416872024,1.8472354412078857
3,0.3,0.9305743241310119,0.8772766160964965,0.17765896320343016,1.9038941860198975
4,0.4,0.900818464756012,0.8648979043960572,0.08980137065052986,2.144650936126709
5,0.5,0.8904625225067139,0.8445631122589111,0.0917988133430481,2.1474621295928955
6,0.6,0.879897015094757,0.8468157243728638,0.05513547003269195,2.2177491188049316
7,0.7,0.8790729594230652,0.831265926361084,0.06829576194286346,1.9352154731750488
8,0.8,0.8648916816711426,0.8186091876029968,0.057853146493434905,1.8948771953582764
9,0.9,0.867690978050232,0.8171783661842347,0.05612511694431305,1.9839158058166504
10,1.0,0.8142279148101806,0.7480230784416199,0.06620484590530396,2.170816421508789
11,1.0,0.7615150475502014,0.6923948240280151,0.069120212495327,1.9166595935821533
12,1.0,0.7752680826187134,0.710392553806305,0.06487553298473359,1.8805670738220215
13,1.0,0.7730997228622436,0.6867113995552063,0.0863883250951767,2.1868717670440674
14,1.0,0.7536576461791992,0.6760200595855713,0.07763759076595306,1.9075002670288086
15,1.0,0.7549556136131287,0.7014803981781006,0.05347522288560867,1.899151086807251
16,1.0,0.7495067405700684,0.6549664664268494,0.09454027235507965,2.182036876678467
17,1.0,0.7354140496253967,0.6638486194610596,0.0715654370188713,1.9077708721160889
18,1.0,0.7511148715019226,0.6849132704734803,0.06620160281658173,1.888115406036377
19,1.0,0.7553860378265381,0.6632992792129516,0.09208675980567932,2.17966628074646
20,1.0,0.7566299223899842,0.6770375323295593,0.07959240645170212,1.8412816524505615
21,1.0,0.74807199716568,0.6774716913700104,0.07060029119253158,1.9994275569915771
22,1.0,0.7348222136497498,0.6455330300331116,0.08928918421268463,2.2289865016937256
23,1.0,0.7454113602638245,0.683367862701416,0.06204349488019943,1.9633700847625732
24,1.0,0.7393008780479431,0.643514358997345,0.0957865110039711,2.0382840633392334
25,1.0,0.7494087505340576,0.6699350500106811,0.07947369873523712,1.9700064659118652
26,1.0,0.7384547472000123,0.6449326300621032,0.09352212607860565,1.9407453536987305
27,1.0,0.749455988407135,0.6642524909973144,0.0852034991979599,2.262028932571411
28,1.0,0.7336821508407593,0.6493688631057739,0.0843132746219635,1.998173475265503
29,1.0,0.7256564402580261,0.6467012858390808,0.07895516365766525,2.078540563583374
30,1.0,0.7268800640106201,0.6434191751480103,0.08346088543534279,2.2488842010498047
31,1.0,0.7279827475547791,0.6579937362670898,0.06998899847269058,2.066256523132324
32,1.0,0.7226980805397034,0.6379018521308899,0.08479623228311539,2.051976203918457
33,1.0,0.7410057640075683,0.6733802223205566,0.06762554764747619,2.293118953704834
34,1.0,0.7187298679351807,0.6360571074485779,0.08267275094985962,2.1281893253326416
35,1.0,0.733858048915863,0.6505936574935913,0.08326439172029496,1.9375360012054443
36,1.0,0.7266759300231933,0.6392940878868103,0.08738185405731201,2.0608370304107666
37,1.0,0.734161548614502,0.6644848895072937,0.06967665672302246,2.0937302112579346
38,1.0,0.7319568705558777,0.6502707314491272,0.08168613582849503,1.9935214519500732
39,1.0,0.7245259237289429,0.6429978466033935,0.08152807921171189,2.0636823177337646
40,1.0,0.7462567591667175,0.6611307525634765,0.08512601941823959,2.402540445327759
41,1.0,0.7263663005828858,0.6242165470123291,0.10214974582195283,1.9854896068572998
42,1.0,0.7478379249572754,0.6741879034042358,0.07365002870559692,2.05586838722229
43,1.0,0.7255974173545837,0.638665361404419,0.08693206936120987,2.2162797451019287
44,1.0,0.7082947540283203,0.6225593423843384,0.08573541164398193,2.312924861907959
45,1.0,0.7304527926445007,0.6551879739761353,0.07526482075452805,1.9555623531341553
46,1.0,0.7386641955375671,0.6438889741897583,0.09477521121501922,2.0599238872528076
47,1.0,0.7167933559417725,0.6309677600860596,0.08582561016082764,2.3177361488342285
48,1.0,0.7203772354125977,0.6431613492965699,0.0772158919274807,1.9727282524108887
49,1.0,0.7323011445999146,0.6418883800506592,0.09041276663541793,2.09171462059021
50,1.0,0.7196854400634766,0.6339680671691894,0.0857173678278923,2.198925733566284
51,1.0,0.7126098704338074,0.6408562684059143,0.07175359427928925,2.30265736579895
52,1.0,0.7184420228004456,0.6324798679351806,0.08596215069293976,1.9573707580566406
53,1.0,0.7164918804168701,0.6334825658798218,0.08300932049751282,2.1097280979156494
54,1.0,0.7177174782752991,0.6408861923217773,0.07683129370212555,2.2251551151275635
55,1.0,0.7037784194946289,0.6216857051849365,0.08209271073341369,1.9725706577301025
56,1.0,0.7105208134651184,0.636748595237732,0.07377220541238785,2.2023942470550537
57,1.0,0.706222836971283,0.6170829606056213,0.0891398686170578,1.9417369365692139
58,1.0,0.7151874756813049,0.6375004100799561,0.0776870721578598,2.2900588512420654
59,1.0,0.7113914036750794,0.6228501343727112,0.088541259765625,1.918534755706787
60,1.0,0.7118406200408935,0.6323823475837708,0.07945827782154083,2.2377777099609375
