epoch,beta,loss,recon,kl
1,4.0,1.0931842752865382,0.9909310596329826,0.025563299522868226
2,4.0,1.0386904392923628,0.9892486589295524,0.01236044502417956
3,4.0,1.026746051652091,1.0190534080777849,0.0019231651843126332
4,4.0,1.0344474826540266,1.032169827393123,0.0005694147548638284
5,4.0,1.0167075395584106,1.0149377243859428,0.00044245339397873195
6,4.0,0.9699733427592686,0.9686517885753086,0.000330386683344841
7,4.0,0.9823970368930272,0.981440041746412,0.00023925025016069412
8,4.0,1.0213970286505563,1.0207204478127616,0.00016914294766528265
9,4.0,1.0060511997767858,1.0055816684450423,0.00011738216770546777
10,4.0,1.001816647393363,1.0014957700456892,8.021760731935501e-05
11,4.0,1.0248801027025496,1.0246636526925224,5.411197032247271e-05
12,4.0,1.0066861169678825,1.0065418822424752,3.606014485870089e-05
13,4.0,1.0171375700405665,1.0170425432068961,2.375777278627668e-05
14,4.0,0.9676611849239894,0.9675993323326111,1.5466473996639252e-05
15,4.0,0.9996038590158735,0.9995640345982143,9.956902691296168e-06
16,4.0,1.0011950050081526,1.0011696985789709,6.327671664101737e-06
17,4.0,1.001458968435015,1.0014430454799108,3.980472683906555e-06
18,4.0,1.0003433312688554,1.0003333943230766,2.484502536909921e-06
19,4.0,0.9966124636786324,0.9966063414301191,1.5320256352424622e-06
20,4.0,1.003912363733564,1.003908668245588,9.249363626752581e-07
21,4.0,1.0109141979898726,1.0109119755881173,5.540038858141218e-07
22,4.0,1.0213704449789864,1.0213691251618522,3.2742640801838465e-07
23,4.0,0.9770524501800537,0.9770516838346209,1.914533121245248e-07
24,4.0,0.99342794077737,0.9934274894850594,1.1335526193891252e-07
25,4.0,1.0207190683909826,1.0207188044275557,6.559171846934727e-08
26,4.0,0.9863798788615635,0.9863797085625785,4.111123936516898e-08
27,4.0,1.023357323237828,1.0233572040285384,2.5677893842969623e-08
28,4.0,0.963827737740108,0.9638276355607169,2.4746571268354145e-08
29,4.0,1.0231615560395377,1.023161428315299,3.33945666040693e-08
30,4.0,0.97365973676954,0.9736596175602504,2.7407492910112652e-08
31,4.0,0.9932908756392342,0.9932907734598432,2.3283064365386963e-08
32,4.0,1.0120988913944788,1.0120987721851893,2.780663115637643e-08
33,4.0,0.9867940374783107,0.9867938927241734,3.871640988758632e-08
34,4.0,0.9843860268592834,0.9843859076499939,3.139887537275042e-08
35,4.0,1.017913554395948,1.0179134437016077,2.7008354663848877e-08
36,4.0,0.9927344407354083,0.9927343300410679,2.7407492910112652e-08
37,4.0,0.9787896956716265,0.9787895338875907,4.137733152934483e-08
38,4.0,1.030947812965938,1.0309476682118006,4.0712101118905205e-08
39,4.0,1.0039291296686446,1.003929010459355,3.020146063395909e-08
40,4.0,0.9764172519956317,0.9764171242713928,3.432588917868478e-08
41,4.0,0.9997439469609942,0.9997438277517047,2.9536230223519462e-08
42,4.0,0.9858419469424656,0.9858418362481254,2.421438694000244e-08
43,4.0,1.0169604931558882,1.0169604080063956,1.7828174999782017e-08
44,4.0,0.9781483922685895,0.9781482900891986,2.195260354450771e-08
45,4.0,0.9987813404628209,0.9987812467983791,2.0755188805716377e-08
46,4.0,1.0220277309417725,1.02202764579228,1.8227313246045795e-08
47,4.0,1.028214965547834,1.0282148378235954,3.33945666040693e-08
48,4.0,1.005240295614515,1.0052401678902763,3.4458935260772705e-08
49,4.0,0.9963647723197937,0.9963646531105042,3.126582929066249e-08
50,4.0,1.0085531558309282,1.008553045136588,2.634312425340925e-08
